PitchType,Zone,Swing
FF,14,N
FF,6,N
FF,12,Y
SL,12,N
FF,3,Y
FF,3,Y
SL,13,N
SL,7,N
FF,6,Y
FF,4,Y
SL,13,N
SL,13,N
FF,4,Y
FF,12,Y
FF,5,Y
FF,14,N
SP,13,Y
FF,4,N
FF,4,N
SP,14,Y
FF,14,N
SP,13,N
SP,14,N
FF,5,Y
FF,12,N
FF,14,Y
FF,12,N
SL,13,N
FF,1,Y
SP,8,Y
SP,13,Y
SP,14,Y
FF,2,Y
SP,14,Y
SP,13,N
FF,2,Y
FF,5,Y
SP,12,N
SP,9,N
FF,11,Y
FF,11,Y
FF,3,Y
FF,1,Y
SP,13,Y
SL,13,Y
SL,13,N
FF,9,N
SP,14,Y
SP,14,N
SP,14,N
FF,9,N
FF,14,N
SP,13,N
SP,9,Y
FF,12,N
FF,9,Y
FF,13,N
SP,7,N
FF,14,N
FF,3,Y
SP,9,Y
FF,7,N
FF,14,N
SL,13,N
SL,4,N
FF,3,Y
SP,14,Y
SP,8,Y
SP,12,Y
SP,6,Y
SP,14,N
SL,6,N
SP,12,N
SP,8,Y
FF,7,N
FF,3,Y
FF,2,Y
SP,13,N
FF,6,Y
SL,13,N
SL,14,Y
FF,7,N
SP,14,Y
SP,14,N
SP,14,N
SP,13,N
FF,14,N
SP,9,Y
SP,13,N
SL,1,N
SP,13,Y
SP,13,Y
FF,14,N
FF,9,Y
FF,11,Y
SP,14,N
FF,13,Y
FF,13,N
FF,9,Y
FF,8,N
FF,9,N
FF,6,Y
FF,12,N
SP,9,N
SP,14,N
SP,13,N
FF,12,N
SP,14,Y
FF,4,Y
SP,8,Y
FF,12,N
SL,13,Y
SP,3,Y
FF,13,N
SL,13,N
SL,13,N
SP,9,Y
FF,7,Y
FF,4,Y
SL,5,N
FF,13,N
FF,6,Y
SL,13,N
FF,13,N
SP,14,N
FF,7,N
FF,14,Y
FF,5,N
SP,14,N
SP,9,Y
SP,6,Y
FF,14,N
SL,13,N
SP,13,N
FF,1,Y
SP,14,N
FF,8,Y
FF,5,Y
FF,5,Y
FF,14,N
FF,4,N
FF,5,Y
FF,8,Y
FF,4,Y
SL,5,N
SL,13,N
FF,5,Y
SP,14,Y
FF,9,Y
SP,14,N
FF,6,Y
FF,4,Y
FF,14,N
FF,6,Y
FF,6,Y
FF,13,N
SL,13,Y
SL,13,N
SP,9,Y
FF,3,Y
SL,4,Y
SP,14,N
SP,14,Y
FF,8,Y
FF,4,N
SP,13,N
FF,5,Y
FF,12,N
SL,13,N
FF,9,N
FF,2,Y
FF,13,N
FF,9,Y
FF,8,Y
SL,9,Y
